type,id,item,prediction,actual,points,label
match,56,אוסטריה - ירדן,2-0,3-1,7,כיוון + הפרש
match,57,ארגנטינה - אוסטריה,2-0,None-None,0,ממתין לתוצאת משחק
match,58,ירדן - אלג'יריה,0-2,None-None,0,ממתין לתוצאת משחק
match,59,אלג'יריה - אוסטריה,2-1,None-None,0,ממתין לתוצאת משחק
match,60,ירדן - ארגנטינה,0-3,None-None,0,ממתין לתוצאת משחק
match,61,פורטוגל - קונגו,2-0,1-1,0,פספוס
match,62,אוזבקיסטן - קולומביה,1-2,None-None,0,ממתין לתוצאת משחק
match,63,פורטוגל - אוזבקיסטן,2-1,None-None,0,ממתין לתוצאת משחק
match,64,קולומביה - קונגו,2-1,None-None,0,ממתין לתוצאת משחק
match,65,קולומביה - פורטוגל,1-1,None-None,0,ממתין לתוצאת משחק
match,66,קונגו - אוזבקיסטן,1-2,None-None,0,ממתין לתוצאת משחק
match,67,אנגליה - קרואטיה,2-1,3-2,7,כיוון + הפרש
match,68,גאנה - פנמה,1-0,None-None,0,ממתין לתוצאת משחק
match,69,אנגליה - גאנה,3-0,None-None,0,ממתין לתוצאת משחק
match,70,פנמה - קרואטיה,0-2,None-None,0,ממתין לתוצאת משחק
match,71,קרואטיה - גאנה,2-0,None-None,0,ממתין לתוצאת משחק
match,72,פנמה - אנגליה,0-3,None-None,0,ממתין לתוצאת משחק
open,1,,מקסיקו,,2,פגיעה
open,2,,רגל ימין,,2,פגיעה
open,3,,זריקת חוץ,,3,פגיעה
open,4,,רגל ימין,,5,פגיעה
open,5,,א | מס' השערים שיובקעו: 11-15,,0,ממתין למקור מאומת
open,6,,יא | מס' השערים שיובקעו: 16-20,,0,ממתין למקור מאומת
open,7,,אנגליה | מס' השערים שתבקיע: 6-10,,0,ממתין למקור מאומת
open,8,,עירק | מס' השערים שתספוג: 6-10,,0,ממתין למקור מאומת
open,9,,עירק | מס' השערים שתבקיע: 0,,0,ממתין למקור מאומת
open,10,,שוויץ | מס' השערים שתספוג: 0,,0,ממתין למקור מאומת
open,11,,נורווגיה | מס' תוצאות תיקו: 2,,0,ממתין למקור מאומת
open,12,,14-16,,0,ממתין למקור מאומת
open,13,,פרגוואי | מס' הכרטיסים שתספוג: 1,,0,ממתין למקור מאומת
open,14,,9-10,,0,ממתין למקור מאומת
open,15,,אנגליה - הארי קיין | מס' השערים שיכבוש: 4,,0,ממתין למקור מאומת
open,16,,אנגליה + מס' הפנדלים שיישרקו: 2,,0,ממתין למקור מאומת
open,17,,פנמה + מס' הפנדלים שיישרקו: 2,,0,ממתין למקור מאומת
open,18,,לפחות 21 פנדלים,,0,ממתין למקור מאומת
open,19,,קיין (אנגליה),,0,ממתין למקור מאומת
open,20,,אירופה,,0,ממתין למקור מאומת
open,21,,כן,,0,ממתין למקור מאומת
open,22,,נסירי (מרוקו),,0,ממתין למקור מאומת
open,23,,אירופה,,0,ממתין למקור מאומת
open,24,,כן,,0,ממתין למקור מאומת
open,25,,מסי (ארגנטינה),,0,ממתין למקור מאומת
open,26,,דרום אמריקה,,0,ממתין למקור מאומת
open,27,,כן,,0,ממתין למקור מאומת
open,28,,לא,,0,ממתין למקור מאומת
open,29,,קיין (אנגליה),,0,ממתין למקור מאומת
open,30,,אירופה,,0,ממתין למקור מאומת
open,31,,לא,,0,ממתין למקור מאומת
open,32,,רונאלדו (פורטוגל),,0,ממתין למקור מאומת
open,33,,אירופה,,0,ממתין למקור מאומת
open,34,,אירופה,,0,ממתין למקור מאומת
open,35,,לא,,0,ממתין למקור מאומת
open,36,,לא,,0,ממתין למקור מאומת
open,37,,3,,0,ממתין למקור מאומת
open,38,,4,,0,ממתין למקור מאומת
open,39,,לא,,0,ממתין למקור מאומת
open,40,,לא,,0,ממתין למקור מאומת
open,41,,לא,,0,ממתין למקור מאומת
open,42,,דקות 5-6,,0,ממתין למקור מאומת
open,43,,דקות 94-95,,0,ממתין למקור מאומת
open,44,,כן,,0,ממתין למקור מאומת
open,45,,לא,,0,ממתין למקור מאומת
open,46,,לא,,0,ממתין למקור מאומת
open,47,,3,,0,ממתין למקור מאומת
open,48,,4,,0,ממתין למקור מאומת
open,49,,לא,,0,ממתין למקור מאומת
open,50,,לא,,0,ממתין למקור מאומת
open,51,,לא,,0,ממתין למקור מאומת
open,52,,דקות 9-10,,0,ממתין למקור מאומת
open,53,,דקות 94-95,,0,ממתין למקור מאומת
open,54,,לא,,0,ממתין למקור מאומת
open,55,,כן,,0,ממתין למקור מאומת
open,56,,לא,,0,ממתין למקור מאומת
open,57,,2,,0,ממתין למקור מאומת
open,58,,3,,0,ממתין למקור מאומת
open,59,,לא,,0,ממתין למקור מאומת
open,60,,לא,,0,ממתין למקור מאומת
open,61,,לא,,0,ממתין למקור מאומת
open,62,,דקות 11-15,,0,ממתין למקור מאומת
open,63,,דקות 94-95,,0,ממתין למקור מאומת
open,64,,כן,,0,ממתין למקור מאומת
open,65,,כן,,0,ממתין למקור מאומת
open,66,,לא,,0,ממתין למקור מאומת
open,67,,2,,0,ממתין למקור מאומת
open,68,,3,,0,ממתין למקור מאומת
open,69,,לא,,0,ממתין למקור מאומת
open,70,,לא,,0,ממתין למקור מאומת
open,71,,לא,,0,ממתין למקור מאומת
open,72,,דקות 16-20,,0,ממתין למקור מאומת
open,73,,דקות 94-95,,0,ממתין למקור מאומת
open,74,,לא,,0,ממתין למקור מאומת
open,75,,צרפת - אמבפה | מס' השערים שיבקיע,,0,ממתין למקור מאומת
open,76,,ארגנטינה - מסי | מס' השערים שיבשל,,0,ממתין למקור מאומת
open,77,,אנגליה + מס' הפנדלים שיישרקו: 3-4,,0,ממתין למקור מאומת
open,78,,פנמה + מס' הפנדלים שיישרקו: פחות מ- 3 פנדלים,,0,ממתין למקור מאומת
open,79,,אנגליה + מס' השערים שתבקיע: 16-20,,0,ממתין למקור מאומת
open,80,,6,,0,ממתין למקור מאומת
open,81,,5,,0,ממתין למקור מאומת
open,82,,2,,0,ממתין למקור מאומת
open,83,,5,,0,ממתין למקור מאומת
open,84,,3,,0,ממתין למקור מאומת
open,85,,21-25,,0,ממתין למקור מאומת
open,86,,3-3,,0,ממתין למקור מאומת
open,87,,1-1,,0,ממתין למקור מאומת
open,88,,1-2,,0,ממתין למקור מאומת
open,89,,9,,0,ממתין למקור מאומת
open,90,,5,,0,ממתין למקור מאומת
open,91,,2,,0,ממתין למקור מאומת
open,92,,2,,0,ממתין למקור מאומת
open,93,,12,,0,ממתין למקור מאומת
open,94,,2,,0,ממתין למקור מאומת
open,95,,3,,0,ממתין למקור מאומת
open,96,,דקות 1-2,,0,ממתין למקור מאומת
open,97,,דקה 100 +,,10,פגיעה
open,98,,דקות 16-30,,0,ממתין למקור מאומת
open,99,,תוספת הזמן,,10,פגיעה
open,100,,2,,0,ממתין למקור מאומת
open,101,,3,,0,ממתין למקור מאומת
open,102,,צרפת,,0,ממתין למקור מאומת
open,103,,כן,,0,ממתין למקור מאומת
open,104,,כן,,0,ממתין למקור מאומת
open,105,,כן,,0,ממתין למקור מאומת
open,106,,כן,,0,ממתין למקור מאומת
open,107,,כן,,0,ממתין למקור מאומת
open,108,,כן,,0,ממתין למקור מאומת
open,109,,כן,,0,ממתין למקור מאומת
open,110,,כן,,0,ממתין למקור מאומת
open,111,,כן,,0,ממתין למקור מאומת
open,112,,לא,,0,ממתין למקור מאומת
open,113,,כן,,10,פגיעה
open,114,,כן,,10,פגיעה
open,115,,לא,,0,ממתין למקור מאומת
open,116,,כן,,10,פגיעה
open,117,,כן,,0,ממתין למקור מאומת
open,118,,כן,,0,ממתין למקור מאומת
open,119,,כן,,0,ממתין למקור מאומת
open,120,,כן,,0,ממתין למקור מאומת
open,121,,כן,,10,פגיעה
open,122,,כן,,0,ממתין למקור מאומת
open,123,,לא,,0,ממתין למקור מאומת
open,124,,כן,,0,ממתין למקור מאומת
open,125,,לא,,0,ממתין למקור מאומת
open,126,,כן,,0,ממתין למקור מאומת
open,127,,90 דקות,,0,ממתין למקור מאומת
open,128,,3,,0,ממתין למקור מאומת
open,129,,1-2,,0,ממתין למקור מאומת
open,130,,1,,0,ממתין למקור מאומת
open,131,,10,,0,ממתין למקור מאומת
open,132,,כן,,0,ממתין למקור מאומת
open,133,,מחצית 2,,0,ממתין למקור מאומת
open,134,,לא,,0,ממתין למקור מאומת
open,135,,כן,,0,ממתין למקור מאומת
open,136,,כן,,0,ממתין למקור מאומת
open,137,,לא,,0,ממתין למקור מאומת
open,138,,לא,,0,ממתין למקור מאומת
open,139,,כן,,0,ממתין למקור מאומת
open,140,,לא,,0,ממתין למקור מאומת
open,141,,כן,,0,ממתין למקור מאומת
open,142,,לא,,0,ממתין למקור מאומת
open,143,,לא,,0,ממתין למקור מאומת
open,144,,רגל ימין,,0,ממתין למקור מאומת
open,145,,זריקת חוץ,,0,ממתין למקור מאומת
open,146,,רגל ימין,,0,ממתין למקור מאומת
